,id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
1689,4LUXh5v2flIFMI0lKB19eA,حرام ناسي,Cheb Hasni,8,1,4,297800,0.431,-3.427,0.801,3.79e-05,0.163,0.261,0.037,154.16,2,462,5,5
1248,1eo1ciKu6C2iNKwqAtYLSk,درتيها أو غيتي تسامهي,Cheb Hasni,6,1,3,272788,0.485,-6.023,0.832,0.0,0.0867,0.953,0.0425,150.181,3,1568029,0,0
574,7cNCj6cVxfQgLsT7K9B7t0,Manakdarche,Cheb Hasni,7,0,3,345720,0.574,-7.032,0.619,9.86e-05,0.134,0.947,0.038,157.038,8,2378938,35,14
813,7uw3LYNeUaCr2q6GBURhzl,نهار ليبراك بكيتي,Cheb Hasni,5,0,3,342400,0.428,-3.319,0.82,0.0,0.11,0.739,0.0391,128.571,6,757,30,16
1957,4ZkbU6uDpce2KYh51MGa43,ماني ماني,Cheb Hasni,8,1,4,337826,0.456,-3.842,0.741,7.11e-06,0.123,0.821,0.299,183.85,1,243746,13,10
643,7DZmJIecaf9hvhfAxfbKUP,Ya ma,Cheb Hasni,7,0,4,282880,0.655,-2.75,0.815,0.0,0.316,0.751,0.0315,147.052,7,4618090,175,59
1252,2Fh3cF58nFT3o7V367Zf6g,Mansitha ma rahet men bali,Cheb Hasni,0,0,4,350200,0.368,-16.016,0.482,0.0117,0.279,0.673,0.0987,96.638,3,810144,232,82
1523,5235Ywi5ImTMpdpNQ0JKDg,Ayite njareb,Cheb Hasni,0,0,4,323160,0.565,-8.554,0.82,3.02e-05,0.0574,0.896,0.0369,172.222,2,1091242,76,18
1242,6nzFbs05tQOExbKssHdi7D,Rani khalite amana,Cheb Hasni,1,1,4,345546,0.762,-13.748,0.5,1.97e-05,0.0391,0.886,0.239,177.426,3,286573,3550,1729
790,3lp1NxPEfQrpoNEYfIQxXk,Gualou hasni met,Cheb Hasni,1,1,4,396813,0.701,-7.131,0.531,2.33e-05,0.121,0.48,0.0274,136.755,6,4484745,1745,486
1740,13JqGYy7a9KEStdp7olYEM,Mouhal nesbor ala oueldi,Cheb Hasni,10,0,4,163386,0.692,-3.604,0.936,0.000485,0.346,0.953,0.0884,172.069,1,144999,12,5
650,6XWl4ztPL15WZMDyPirjou,Yali galbi mak,Cheb Hasni,0,0,3,350253,0.799,-14.463,0.467,1.78e-05,0.0919,0.936,0.0473,135.372,7,98971,161,74
1310,2w4S8fD8JXV0Wq3X2LiLyi,Khayef el beida tensani,Cheb Hasni,0,1,4,346206,0.681,-10.886,0.612,0.00397,0.0637,0.854,0.0428,177.869,3,745827,211,37
443,5m08wgPGh5spBsMuVSewgQ,نعم كين,Cheb Hasni,7,1,4,344826,0.748,-13.857,0.4,0.0243,0.0971,0.932,0.056,127.221,10,716632,0,0
938,14lpPhAVLxqMTMI00rTmCE,مزال قلبي مهلة مابرا,Cheb Hasni,9,0,4,344746,0.679,-9.639,0.633,0.000184,0.217,0.895,0.0325,139.55,5,9896291,2,2
1695,01AJXBvezaWzGS6HyGPxy5,Aärfak badala,Cheb Hasni,10,0,1,372540,0.506,-9.85,0.573,3.01e-06,0.194,0.948,0.0632,169.699,2,4212515,0,0
1195,0fS290LD44S3YW4rgAEVBz,خلوني نبكي,Cheb Hasni,5,0,4,301640,0.737,-12.469,0.595,1.32e-06,0.207,0.888,0.033,95.786,4,1104165,112,21
1947,6SRjQBuKaNkc1Vdjkxhrl2,Malit Maak Sidi Rabi,Cheb Hasni,0,0,4,333133,0.591,-9.246,0.609,0.0778,0.11,0.7,0.0661,169.666,1,133859,53,18
530,75DLNFMLcvKcfl7iDw8ATh,Hokm el mektoub,Cheb Hasni,0,0,4,366735,0.675,-14.114,0.531,0.0,0.133,0.929,0.0998,88.221,8,174150,0,0
649,3pKlFMTSDijQSeXvWaXAN4,Wahran rouhi ya ouarhan,Cheb Hasni,0,1,4,327666,0.453,-13.202,0.497,5.99e-05,0.116,0.847,0.0349,95.509,7,1097028,0,0
565,4AKV2VP1osurRjgqC0Kkls,مكنالله,Cheb Hasni,8,1,4,347813,0.735,-13.313,0.68,0.608,0.109,0.966,0.0405,100.227,8,5603710,0,0
953,5726eVw6xeZvV8vqzV3OI7,Enfin الكـت اليفـامن,Cheb Hasni,5,1,4,280706,0.473,-6.902,0.74,1.25e-05,0.298,0.81,0.0317,88.663,5,58946,12,6
424,4GrCAt4fmgeaajeI6kGb3b,Kingoul ana,Cheb Hasni,0,1,4,300933,0.603,-6.064,0.921,0.0,0.117,0.878,0.0826,179.887,11,77337,0,0
1962,2gbBxoXRH2UKnIzm2X9ksa,C'est pas ma faute,Cheb Hasni,1,1,4,353426,0.488,-9.374,0.769,0.17,0.143,0.722,0.0582,147.967,1,123605,304,91
501,5JsLRLEJuXGLlnjZvdMsYy,N'direk amour,Cheb Hasni,6,0,4,362138,0.593,-11.106,0.453,0.0,0.186,0.528,0.0423,156.264,9,3560621,0,0
546,2TImp5EwZEowKxJN9qNRmC,Kounfti Fe Dar,Cheb Hasni,1,1,4,344136,0.604,-10.748,0.586,0.0,0.0734,0.459,0.0538,95.003,8,1078,9,4
1933,3RnDSDlIGTdr5g7gPWN6Rh,كادا مكتوبي معاك,Cheb Hasni,7,0,4,371386,0.846,-10.266,0.63,0.00352,0.0413,0.667,0.0502,104.952,1,36869,1,1
330,0o3KLRvCN1disYzMoJoW7q,Ya sidi rassoul Allah,Cheb Hasni,6,1,4,421293,0.673,-9.136,0.588,1.84e-06,0.12,0.883,0.0342,88.004,13,809346,0,0
1148,4FBnD47rayYAX4MIP0lgiE,Chira ly nabghiha,Cheb Hasni,3,1,4,380533,0.526,-9.377,0.796,0.00062,0.257,0.616,0.102,153.453,4,20616643,729,205
620,49KLWHDY8AnLqzQow2uA93,Choufi omri,Cheb Hasni,11,0,4,360746,0.736,-14.059,0.464,0.000793,0.0525,0.937,0.0844,167.882,7,486108,292,86
1965,061vbmuFKQCtYusXSMnn3w,Nssat l'histoire,Cheb Hasni,5,0,4,344293,0.675,-6.526,0.618,0.00815,0.0958,0.59,0.0509,168.909,1,76061,120,61
1037,1EmWCNdfOp1sqetZqFrbtn,Samhini ya zerga,Cheb Hasni,11,0,4,351000,0.517,-16.916,0.583,6.67e-05,0.29,0.598,0.0429,166.888,4,141799,9,6
1229,70yAwoUGVt1FfaNjUwTYZt,Ghadara,Cheb Hasni,5,0,4,330000,0.584,-7.669,0.77,0.0479,0.263,0.7,0.0387,157.111,3,82862,160,38
1983,4lD6TjxwHEXOcC0JJtQ7pb,Ghaddar,Cheb Hasni,8,1,4,352976,0.676,-11.374,0.512,0.000128,0.0612,0.704,0.0318,116.342,1,923338,701,488
45,0RIglQG44g2DfAoajU3ccf,Gualbi mayensakche,Cheb Hasni,9,0,4,343000,0.682,-10.08,0.629,0.000165,0.176,0.893,0.0326,139.56,28,345,58,28
1942,6qtxhVUovsBLb75aZ7GPjv,تالكة الغزلي,Cheb Hasni,10,1,3,352720,0.684,-7.601,0.752,0.0,0.0528,0.837,0.0287,142.578,1,8,2,2
1931,5wrVLhGZXsrQR4oNBgdyiA,أنطيا ماهنة,Cheb Hasni,10,0,4,347266,0.558,-8.384,0.797,0.0,0.0731,0.751,0.0433,176.304,1,8,1,1
1270,1GIM6mtKyRJLLpFY1WPaNB,كانيت amour,Cheb Hasni,5,1,3,353853,0.779,-11.945,0.6,1.06e-05,0.184,0.697,0.14,139.115,3,109832,13,7
1486,6NWqRMDUMV1zyuqPOOxqU6,كان زين,Cheb Hasni,5,0,4,305853,0.634,-9.535,0.577,0.000927,0.103,0.363,0.0235,99.782,2,22,15,6
225,6pa4RcUqRoFfLLjHdu10xF,Waâlach sakartni,Cheb Hasni,11,1,4,324760,0.745,-10.864,0.699,0.0498,0.165,0.296,0.069,81.376,16,184,37,20
203,0Obv2x3IeHRUeIwhWt7Nrq,N'sa l'histoire,Cheb Hasni,7,1,4,347400,0.71,-10.599,0.864,0.00159,0.128,0.936,0.0523,93.258,16,440543,54,24
949,24Hacz9ldxxfw9vGoUWzja,في ال [بسّ],Cheb Hasni,5,0,3,323136,0.604,-5.819,0.803,0.0,0.309,0.78,0.0704,169.38,5,187286,3,2
1277,6eMrIBjVc7VPI1sJQ986vP,هابويا هابويا,Cheb Hasni,5,1,4,353733,0.726,-10.168,0.721,2.77e-05,0.0738,0.711,0.0595,176.791,3,166632,89,3
1584,2fmlFKgbgUbe9faeK24jzq,ماتجوليش ليفراك,Cheb Hasni,1,0,3,297426,0.602,-8.089,0.663,0.0,0.0705,0.655,0.0284,144.407,2,20616643,3,2
1062,38pZihlHFoqKQDBoFFb3iO,Nabki wa ennouh,Cheb Hasni,9,1,3,330480,0.387,-12.001,0.35,0.015,0.107,0.322,0.0611,173.41,4,79,6,4
1139,0Vtk1QyO1EkpnFQIslCmUe,بكات عينى,Cheb Hasni,5,0,3,364715,0.794,-11.232,0.557,8.14e-06,0.15,0.89,0.0321,117.623,4,399915,0,0
1269,3DjGAWA8voDvLhMrDZphKR,البركة,Cheb Hasni,3,0,4,290026,0.5,-6.579,0.742,8.39e-05,0.125,0.586,0.0445,176.334,3,2298278,0,0
